# Main strategy metrics
,Value
Total Return,0.5012321545549259
CAGR,0.041465255107960175
Annualized Volatility,0.144312340796751
Sharpe Ratio,0.21459850652220408
Sortino Ratio,0.32097730694163784
Max Drawdown,-0.2563492577141475
Calmar Ratio,0.16175297513128617

# Survivorship bias comparison
,Point-in-Time Universe (correct),Survivors-Only (biased),Bias (Survivors - PIT)
Total Return,0.11805019988395093,0.6810901150060609,0.5630399151221099
CAGR,0.01122111722400998,0.05331701434101066,0.04209589711700068
Annualized Volatility,0.07941722128118563,0.07663044184042489,-0.0027867794407607366
Sharpe Ratio,-0.0715818999301182,0.4552150159412145,0.5267969158713327
Sortino Ratio,-0.0993555730061836,0.6750776431269385,0.7744332161331221
Max Drawdown,-0.3176693331305678,-0.16471576270639543,0.15295357042417235
Calmar Ratio,0.03532326244220087,0.3236910266812037,0.28836776423900284

# Weighting scheme / signal type comparison
,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio
XS Momentum + equal,0.20069286170570577,0.01845816170219683,0.15688245779893614,0.06692059308231701,0.09979110531762875,-0.34841706864324773,0.05297720279340438
XS Momentum + inverse_vol,0.351091433772581,0.030548591466289077,0.14444664713630403,0.14147126510041919,0.21215120945042434,-0.2832378258070246,0.10785491443188248
XS Momentum + risk_parity,0.5012321545549259,0.041465255107960175,0.144312340796751,0.21459850652220408,0.32097730694163784,-0.2563492577141475,0.16175297513128617
XS Momentum + mean_variance,-0.2715452121407891,-0.03118632527252896,0.3019002034018006,-0.018227518293621278,-0.024803684214773965,-0.7156335660562526,-0.04357862284799194
TS Momentum + risk_parity,0.21357593168113898,0.01954569566285458,0.09435084065069096,0.040218687229570865,0.05987888881145018,-0.3697162177598352,0.052866752184377565
